idna_subject,checker_type,destination,tested_at
012.2o7.net,AVAILABILITY,origin.list,2021-01-13 20:30:09.615198
02y7m1at09.mentalist.kameleoon.com,AVAILABILITY,origin.list,2021-01-13 20:31:00.681387
048-hld-130.mktoresp.com,AVAILABILITY,origin.list,2021-01-13 20:31:38.957840
0o4vyd7cqp.mentalist.kameleoon.com,AVAILABILITY,origin.list,2021-01-13 20:36:33.677534
0qkt6um309.mentalist.kameleoon.com,AVAILABILITY,origin.list,2021-01-13 20:36:39.723354
0sfzz.ouasflpydty21tf.bapb.gdn,AVAILABILITY,origin.list,2021-01-13 20:36:47.474511
10034.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:37:07.657946
10112.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:37:22.747346
10284.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:38:03.612254
10306.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:38:09.647676
10310.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:38:15.739350
10468.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:38:38.793973
1061.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:38:58.193461
10624.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:04.289635
10680.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:18.770063
10684.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:24.784583
10706.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:30.878631
10712.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:36.896901
10744.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:47.663008
1075.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:53.661797
10764.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:39:59.656447
10776.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:40:05.918979
10806.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:40:31.017952
10930.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:40:45.525228
10944.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:40:51.590587
11030.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:41:43.163864
11126.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:41:57.608013
11184.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:42:03.658626
111.onthe.io,AVAILABILITY,origin.list,2021-01-13 20:42:13.771313
11262.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:42:29.282201
11430.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:42:40.096500
115302.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:42:46.177881
11562.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:42:52.227525
11576.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:42:58.229535
11704.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:43:25.088067
11720.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:43:35.924755
11722.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:43:42.024256
11732.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:43:48.125537
117745.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:43:57.904823
11872.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:44:07.690921
11916.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:44:18.728001
11lmt6lnrr.mentalist.kameleoon.com,AVAILABILITY,origin.list,2021-01-13 20:44:43.701785
12126.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:44:49.739242
1220047983.world,AVAILABILITY,origin.list,2021-01-13 20:44:56.038824
12240.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:45:06.796781
12276.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:45:17.550237
12486.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:45:49.810336
125000.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:45:55.855891
12650.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:46:05.748828
126734-hb.adomik.com,AVAILABILITY,origin.list,2021-01-13 20:46:11.529643
127845-hb.adomik.com,AVAILABILITY,origin.list,2021-01-13 20:46:35.197579
12790.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:46:41.239449
12846.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:47:05.325034
13020.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:47:29.250324
13170.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:47:42.860816
13194.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:47:52.632361
13270.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:48:15.820054
13306.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:48:26.653540
13340.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:48:32.706438
13434.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 00:59:47.978036
13464.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 00:59:54.097127
13570.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:00:12.977521
13700.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:00:31.512414
1375.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:00:42.390706
13770.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:00:48.452777
13784.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:00:54.565618
13874.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:01:05.317208
14056.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:01:43.194697
14062.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:01:49.261119
14082.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:01:55.470338
14212.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 01:02:17.801413
142376-hb.adomik.com,AVAILABILITY,origin.list,2021-01-14 01:02:23.535615
14360.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 04:49:38.943691
143612.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 04:49:44.993600
14460.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-14 16:50:47.323881
1111.admitad.com,AVAILABILITY,origin.list,2021-07-04 03:05:53.028014
